1013	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Reasons/comments (free text)	
Grammaticality	5	4	4		
Non-Redundancy	5	4	3		
Referential Clarity	5	5	4		
Focus	1	3	5		
Structure	2	4	3		
Coherence	3	3	3		
Readability	4	3	4		
Information Content	3	4	5		
Spelling	5	5	3		
Length	3	3	3		
Overall Quality	3	4	5	im not quite sure what this summary is about	
